Title,Author,Year,Citation count,Open access,Abstract
Upregulation of cortical GABAA receptor concentration in fibromyalgia,Florence B. Pomares|Steve Roy|Thomas Funck|Natasha A. Feier|Alexander Thiel|Mary‐Ann Fitzcharles|Petra Schweinhardt,2019,55,Open Access,"An imbalance between excitatory and inhibitory neurotransmission has been linked to fibromyalgia (FM). Magnetic resonance spectroscopy has shown increased levels of glutamate in the insula and posterior cingulate cortex in FM as well as reduced insular levels of gamma-aminobutyric acid (GABA). Both of these changes have been associated with increased pain sensitivity. However, it is not clear whether excitatory and/or inhibitory neurotransmission is altered across the brain. Therefore, the aim of this study was to quantify GABAA receptor concentration on the whole brain level in FM to investigate a potential dysregulation of the GABAergic system. Fifty-one postmenopausal women (26 FM, 25 matched controls) underwent assessments of pain sensitivity, attention and memory, psychological status and function, as well as positron emission tomography imaging using a tracer for GABAA receptors, [F]flumazenil. Patients showed increased pain sensitivity, impaired immediate memory, and increased cortical GABAA receptor concentration in the attention and default-mode networks. No decrease of GABAA receptor concentration was observed. Across the 2 groups, GABAA receptor concentration correlated positively with functional scores and current pain in areas overlapping with regions of increased GABAA receptor concentration. This study shows increased GABAA receptor concentration in FM, associated with pain symptoms and impaired function. The changes were widespread and not restricted to pain-processing regions. These findings suggest that the GABAergic system is altered, possibly indicating an imbalance between excitatory and inhibitory neurotransmission. Future studies should try to understand the nature of the dysregulation of the GABAergic system in FM and in other pain syndromes."
A capital role for the brain’s insula in the diverse fibromyalgia-associated symptoms,Boél De Paepe|Joél Smet|Chris Baeken|Jessica Van Oosterwijck|Mira Meeus,2020,14,Open Access,
Changes in Metabolites after Treatment with Memantine in Fibromyalgia. A Double‐Blind Randomized Controlled Trial with Magnetic Resonance Spectroscopy with a 6‐month Follow‐up,Nicolás Fayed|Bárbara Oliván‐Blázquez|Paola Herrera‐Mercadal|Marta Puebla‐Guedea|Mari‐Cruz Pérez‐Yus|Eva Andrés|Yolanda López del Hoyo|Rosa Magallón-Botaya|Laura Viguera|Javier García‐Campayo,2014,34,NOT Open Access,
Abnormal neurometabolites in fibromyalgia patients: Magnetic resonance spectroscopy study,Ye-Ha Jung|Hyeonjin Kim|Dasom Lee|Jae-Yeon Lee|Won Joon Lee|Jee Youn Moon|Soo‐Hee Choi|Do‐Hyung Kang,2021,11,Open Access,"This study aimed to investigate distinct neurometabolites in the anterior cingulate cortex (ACC), right and left thalamus, and insula of patients with fibromyalgia (FM) compared with healthy controls using proton magnetic resonance spectroscopy (MRS). Levels of N-acetylaspartate (NAA), N-acetylaspartylglutamate (NAAG), total NAA (tNAA = NAA + NAAG), myo-inositol (ml), glutamine (Gln), glutamate (Glu), Glx (Glu + Gln), glycerophosphocholine (GPC), total choline (tCho = GPC + phosphocholine) and glutathione (GSH) levels relative to total creatine (tCr) levels including creatine (Cr) and phosphocreatine (PCr) and relative to Cr levels were determined in the ACC, right and left thalamus, and insula in 12 patients with FM and 13 healthy controls using MRS. In the ACC, NAA/tCr (P = 0.028) and tCho/tCr (P = 0.047) were higher in patients with FM. In the right and left insula, tNAA/tCr (P = 0.019, P = 0.007, respectively) was lower in patients with FM. Patients with FM showed lower levels of ml/Cr (P = 0.037) in the right insula than healthy controls. These findings are paramount to understand decisive pathophysiological mechanisms related to abnormal features in the brain and parasympathetic nervous systems in FM. We suggest that the results presented herein may be essential to understand hidden pathological mechanisms and also life system potential as protective and recovering metabolic strategies in patients with FM."
Elevated posterior insula glutamate in patients with sickle cell disease,Xiaopeng Zhou|Eric Ichesco|Andrew Pucka|Ziyue Liu|Andrew RW O’Brien|Steven E. Harte|Richard E. Harris|Ying Wang,2024,3,Open Access,"Sickle cell disease (SCD) is an inherited hemolytic disorder accompanied by chronic pain and recurrent acute painful episodes known as vaso-occlusive crises (VOCs). Increased Glx (glutamate+glutamine) and lowered GABA concentration have been reported in the insula of patients with fibromyalgia, a nociplastic chronic pain condition, and may affect the pathophysiology of pain-related syndromes.Therefore, proton magnetic resonance spectroscopy ( 1 H-MRS) was conducted to measure levels of Glx and other brain metabolites using a single voxel (size: 2×3×3 cm 3 ) in the right posterior insula cortex (PIC) in 17 individuals with SCD and 17 ethnicity-, age- and sex-matched healthy controls (HCs). The frequency of VOCs in the preceding 12 months was recorded. The concentration of Glx (p=0.019) and the ratio of Glx to tCr (total creatine, p=0.035) in the PIC were significantly higher in patients with SCD as compared to matched HCs (n=17). Secondary analyses with the unpaired full sample of 24 SCD also showed a significantly higher level of Glx/tCr than HCs (n=19), with a positive correlation between the level of Glx/tCr and the number of VOCs (p=0.034, r=0.476), as well as a negative correlation between Glx and sensory sensitivity assessed by tonic pressure pain in gastrocnemius area of the non-dominant leg (p=0.040, r=−0.462). The unpaired full sample additionally revealed a significant difference in sensory sensitivity (p=0.050). Altered metabolites such as GABA and myo-inositol were also observed between SCD and HCs. These results suggest that elevated excitatory neurotransmission in the insula might contribute to nociplastic pain in SCD. Perspective Our work highlighted the innovative finding of elevated levels of the excitatory neurotransmitter glutamate with glutamine in patients with SCD compared to healthy controls. The positive relationship between Glx/tCr and the frequency of VOCs suggests that an excitatory brain neurotransmitter imbalance may be involved in VOCs."
Dysfunctional energy metabolisms in fibromyalgia compared with healthy subjects,Ye-Ha Jung|Hyeonjin Kim|Dasom Lee|Jae-Yeon Lee|Jee Youn Moon|Soo‐Hee Choi|Do‐Hyung Kang,2021,11,Open Access,"This study aimed to investigate the levels of creatine (Cr) metabolites in the anterior cingulate cortex (ACC), thalamus, and insula of patients with fibromyalgia (FM) using proton magnetic resonance spectroscopy (MRS). The levels of Cr and phosphocreatine (PCr) relative to total Cr (tCr), which includes Cr and PCr, in the ACC, thalamus, and insula were determined using MRS in 12 patients with FM and in 13 healthy controls. The FM group had lower levels of PCr/tCr in the ACC and right insula compared to healthy controls. There was a negative correlation between Cr/tCr in the ACC and total pain levels (McGill Pain Questionnaire-Total; r = -0.579, p = 0.049) and between Cr/tCr in the left insula and affective pain levels (McGill Pain Questionnaire-Affective; r = -0.638, p = 0.047) in patients with FM. In addition, there were negative correlations between stress levels (Stress Response Inventory) and Cr/tCr in the right (r = -0.780, p = 0.005) and left thalamus (r = -0.740, p = 0.006), as well as in the right insula (r = -0.631, p = 0.028) in patients with FM. There were negative correlations between symptom levels of post-traumatic stress disorder (PTSD; PTSD checklist) and Cr/tCr in the right (r = -0.783, p = 0.004) and left thalamus (r = -0.642, p = 0.024) of patients with FM. These findings are paramount to understanding the decisive pathologies related to brain energy metabolism in patients with FM."
Cerebral magnetic resonance changes associated with fibromyalgia syndrome,Íñigo Murga|Virginia Guillén|José Vicente Lafuente,2017,14,NOT Open Access,
Association of Alterations in Gray Matter Volume With Reduced Evoked‐Pain Connectivity Following Short‐Term Administration of Pregabalin in Patients With Fibromyalgia,Tudor Puiu|Anson Kairys|L. Pauer|Tobias Schmidt‐Wilcke|Eric Ichesco|Johnson P. Hampson|Vitaly Napadow|Daniel J. Clauw|Richard E. Harris,2016,25,Open Access,"OBJECTIVE: Pregabalin (PGB) is an α2 δ calcium-channel subunit ligand that has previously been shown to reduce chronic pain in multiple conditions. Preclinical studies indicate that PGB may down-regulate brain glutamate release while also inhibiting astrocyte induction of glutamatergic synapse formation, and recent clinical findings support the notion that PGB modulates glutamatergic activity and functional brain connectivity in order to produce analgesia. The present study was undertaken to examine concurrent changes in brain gray matter volume (GMV) or evoked-pain connectivity in humans receiving PGB. METHODS: Sixteen female fibromyalgia patients participated in a randomized double-blind 2-period crossover study of PGB versus placebo. Before and after each period, patients underwent high-resolution structural and evoked pressure-pain functional brain imaging. GMV was analyzed using voxel-based morphometry, and functional connectivity during evoked pressure-pain was assessed. RESULTS: PGB administration significantly reduced GMV within the posterior insula bilaterally, whereas there were no significant changes in insular GMV following placebo treatment. GMV reductions in the medial frontal gyrus were also observed when comparing PGB versus placebo treatment, and were associated with reduced clinical pain. These reductions in insular GMV were associated with concomitant reductions in connectivity to the default mode network, which was also associated with reduced clinical pain. CONCLUSION: Short-term PGB treatment altered brain structure and evoked-pain connectivity, and these decreases were associated with reduced clinical pain. We speculate that these fairly rapid changes in GMV may be related to brain neuroplasticity. It is unknown whether these effects are generalizable to other chronic pain states."
Changes in metabolites in the brain of patients with fibromyalgia after treatment with an NMDA receptor antagonist,Nicolás Fayed|Bárbara Oliván‐Blázquez|Yolanda López del Hoyo|Eva Andrés|María Cruz Pérez-Yus|Alicia Fayed|Luisa F Angel|Antoni Serrano‐Blanco|Miquel Roca|Javier García‐Campayo,2019,14,Open Access,"The aims of this work were to evaluate whether the treatment of patients with fibromyalgia with memantine is associated with significant changes in metabolite concentrations in the brain, and to explore any changes in clinical outcome measures. Magnetic resonance spectroscopy was performed of the right anterior and posterior insula, both hippocampi and the posterior cingulate cortex. Questionnaires on pain, anxiety, depression, global function, quality of life and cognitive impairment were used. Ten patients were studied at baseline and after three months of treatment with memantine. Significant increases were observed in the following areas: N-acetylaspartate (4.47 at baseline vs. 4.71 at three months, p = 0.02) and N-acetylaspartate+N-acetylaspartate glutamate in the left hippocampus (5.89 vs. 5.98; p = 0.007); N-acetylaspartate+N-acetylaspartate glutamate in the right hippocampus (5.31 vs 5.79; p = 0.01) and the anterior insula (7.56 vs. 7.70; p = 0.033); glutamate+glutamine/creatine ratio in the anterior insula (2.03 vs. 2.17; p = 0.022) and the posterior insula (1.77 vs. 2.00; p = 0.004); choline/creatine ratio in the posterior cingulate (0.18 vs. 0.19; p = 0.023); and creatine in the right hippocampus (3.60 vs. 3.85; p = 0.007). At the three-month follow-up, memantine improved cognitive function assessed by the Cognition Mini-Exam (31.50, SD = 2.95 vs. 34.40, SD = 0.6; p = 0.005), depression measured by the Hamilton Depression Scale (7.70, SD = 0.81 vs. 7.56, SD = 0.68; p = 0.042) and severity of illness measured by the Clinical Global Impression severity scale (5.79, SD = 0.96 vs. 5.31, SD = 1.12; p = 0.007). Depression, clinical global impression and cognitive function showed improvement with memantine. Magnetic resonance spectroscopy could be useful in monitoring response to the pharmacological treatment of fibromyalgia."
"Comparison of gamma-aminobutyric acid, glutamate, and N-acetylaspartate concentrations in the insular cortex between patients with fibromyalgia, rheumatoid arthritis, and healthy controls - a magnetic resonance spectroscopy study",Hans-Christoph Aster|Viola Hahn|Marc Schmalzing|György A. Homola|Thomas Kampf|Mirko Pham|Nurcan Üçeyler|Claudia Sommer,2022,2,Open Access,"Abstract Fibromyalgia syndrome (FMS) is a chronic pain disorder with hypersensitivity to painful stimuli. A subgroup of patients shows damage to small peripheral nerve fibers. Previous studies support the hypothesis that increased activation of the pain-processing insular cortex is mediated by an imbalance of insular glutamate and γ-aminobutyric acid (GABA) concentrations. Here, we aimed to test this hypothesis in a large cohort of FMS patients comparing data of patients and healthy controls. In addition, we tested the hypothesis whether a reduction in small peripheral nerve fibers relates to glutamate concentrations in the insular cortex. We recruited 102 subjects (all female, 44 FMS patients, 40 healthy age-matched controls, and 19 patients with rheumatoid arthritis (RA) as disease controls. Study participants underwent single-voxel magnetic resonance spectroscopy of the right and left insular cortex. All patients completed questionnaires on symptom severity (pain intensity, impairment due to symptoms, depression). FMS patients were further stratified into subgroups with and without reduced intraepidermal nerve fiber density (IENFD) assessed on skin punch biopsies. We found no intergroup difference of the glutamate/GABA metabolite concentrations between FMS and RA patients and healthy controls. Glutamate/GABA levels did not correlate with symptom severity. Cerebral glutamate concentrations were independent of skin innervation. We found similar insular glutamate/GABA concentrations in FMS patients and disease and healthy controls. Therefore, our data cannot support the hypothesis that a glutamate/GABA mismatch leads to a sensitization of the insular cortex of fibromyalgia patients and thereby induces the symptoms."
